tweet_id,favorites_count,retweets_count
854120357044912130,33316,8034
854010172552949760,16889,3362
853760880890318849,29904,6225
853639147608842240,36526,10914
853299958564483072,16257,3826
852936405516943360,0,2178
852912242202992640,9476,1983
852672615818899456,15656,2312
852553447878664193,17184,3783
852311364735569921,34754,10681
852226086759018497,20991,7367
852189679701164033,12024,1705
851953902622658560,0,10418
851861385021730816,0,23
851591660324737024,17030,3740
851464819735769094,25522,7641
851224888060895234,21736,6190
850753642995093505,32736,10074
850380195714523136,13748,2826
850333567704068097,3596,361
850145622816686080,17221,4136
850019790995546112,21589,5313
849776966551130114,32143,8255
849668094696017920,0,5391
849412302885593088,16756,3401
849336543269576704,12071,2051
849051919805034497,44796,9278
848690551926992896,26657,4690
848324959059550208,26182,5007
848213670039564288,8656,814
848212111729840128,17299,3353
847978865427394560,0,3548
847971574464610304,0,467
847962785489326080,24858,5583
847842811428974592,5823,1469
847617282490613760,7428,457
847606175596138505,19860,3678
847251039262605312,21639,4669
847157206088847362,21189,6385
847116187444137987,22713,3482
846874817362120707,21301,4288
846514051647705089,47467,12682
846505985330044928,15026,3389
846153765933735936,33728,9893
846139713627017216,32713,10726
846042936437604353,16988,3143
845812042753855489,31142,9569
845677943972139009,26682,5223
845459076796616705,Not Found,Not Found
845397057150107648,8108,1999
845306882940190720,24788,5896
845098359547420673,0,8407
844979544864018432,14486,2834
844973813909606400,16098,3518
844704788403113984,41244,11331
844580511645339650,17533,3433
844223788422217728,14509,2399
843981021012017153,16068,3198
843856843873095681,22802,5079
843604394117681152,17990,2999
843235543001513987,22908,6641
842892208864923648,Not Found,Not Found
842846295480000512,16198,3926
842765311967449089,7198,1406
842535590457499648,19291,3838
842163532590374912,26129,6370
842115215311396866,14956,3314
841833993020538882,0,16948
841680585030541313,27354,8525
841439858740625411,13500,4050
841320156043304961,21068,5961
841314665196081154,16968,5174
841077006473256960,24498,5828
840761248237133825,0,1935
840728873075638272,0,17811
840698636975636481,195,3
840696689258311684,13157,1089
840632337062862849,9604,1935
840370681858686976,17605,5021
840268004936019968,20607,6317
839990271299457024,14369,2533
839549326359670784,29467,8577
839290600511926273,0,156
839239871831150596,29131,7220
838952994649550848,21008,4396
838921590096166913,11966,2292
838916489579200512,0,37
838831947270979586,0,12240
838561493054533637,11693,1468
838476387338051585,24235,5325
838201503651401729,0,11196
838150277551247360,1795,358
838085839343206401,149,0
838083903487373313,18890,3478
837820167694528512,36670,8704
837482249356513284,4131,489
837471256429613056,13748,2556
837366284874571778,22663,5852
837110210464448512,17172,2655
837012587749474308,Not Found,Not Found
836989968035819520,13650,2542
836753516572119041,20649,5102
836677758902222849,13533,2456
836648853927522308,0,610
836397794269200385,0,30531
836380477523124226,15799,3254
836260088725786625,22790,4738
836001077879255040,20529,4782
835685285446955009,0,9077
835574547218894849,19129,4016
835536468978302976,0,1885
835309094223372289,0,23339
835297930240217089,17595,3309
835264098648616962,8343,1885
835246439529840640,2238,81
835172783151792128,28061,6370
835152434251116546,24129,3363
834931633769889797,11643,1828
834786237630337024,22657,6047
834574053763584002,14738,2808
834477809192075265,0,11838
834458053273591808,10338,1857
834209720923721728,22162,5318
834167344700198914,16931,4027
834089966724603904,10804,2358
834086379323871233,14044,2456
833863086058651648,14418,2668
833826103416520705,16487,3819
833732339549220864,0,241
833722901757046785,22226,3554
833479644947025920,15984,2292
833124694597443584,21757,5391
832998151111966721,14318,2462
832769181346996225,0,42
832757312314028032,18126,4023
832682457690300417,12797,3272
832645525019123713,3140,578
832636094638288896,17086,3118
832397543355072512,12880,2479
832369877331693569,18482,3548
832273440279240704,12164,2598
832215909146226688,0,6885
832215726631055365,0,10424
832088576586297345,72,2
832040443403784192,0,10825
832032802820481025,19261,5193
831939777352105988,25880,6850
831926988323639298,367,36
831911600680497154,29819,7274
831670449226514432,11269,2019
831650051525054464,7744,2178
831552930092285952,9717,2557
831322785565769729,9885,1706
831315979191906304,7007,1238
831309418084069378,12618,2713
831262627380748289,12839,2291
830956169170665475,8599,1681
830583320585068544,72194,18792
830173239259324417,0,6371
830097400375152640,10616,3358
829878982036299777,0,5601
829861396166877184,13225,2192
829501995190984704,34268,11838
829449946868879360,11319,2270
829374341691346946,37433,10418
829141528400556032,26500,8284
829011960981237760,57250,18116
828801551087042563,0,3796
828770345708580865,27633,6569
828708714936930305,39563,12532
828650029636317184,10280,1501
828409743546925057,6786,1282
828408677031882754,8263,1430
828381636999917570,13648,2485
828376505180889089,7995,1188
828372645993398273,13542,3268
828361771580813312,2369,191
828046555563323392,12733,3191
828011680017821696,11200,2394
827933404142436356,21804,5850
827653905312006145,16713,3351
827600520311402496,8022,1054
827324948884643840,17195,3422
827228250799742977,Not Found,Not Found
827199976799354881,11462,2506
826958653328592898,23377,5601
826848821049180160,39574,11507
826615380357632002,0,4405
826598799820865537,5545,286
826598365270007810,10914,2628
826476773533745153,19945,4694
826240494070030336,14365,2894
826204788643753985,5277,1050
826115272272650244,16991,3506
825876512159186944,11337,2095
825829644528148480,13794,2789
825535076884762624,56356,19266
825147591692263424,19858,5125
825120256414846976,0,1442
825026590719483904,6901,1442
824796380199809024,0,6150
824775126675836928,16243,3956
824663926340194305,10922,1945
824325613288833024,12781,11621
824297048279236611,16305,4335
824025158776213504,5176,665
823939628516474880,11557,3041
823719002937630720,0,12636
823699002998870016,13638,2707
823581115634085888,14146,2975
823333489516937216,760,29
823322678127919110,17120,4523
823269594223824897,0,11086
822975315408461824,18801,3865
822872901745569793,143873,49359
822859134160621569,14346,2562
822647212903690241,0,7195
822610361945911296,16042,3328
822489057087389700,19736,7195
